"school1" "school2" "school3" "school4" "school5" "school6" "school7" "school8"
"1" 3 3 5 4 4 4 5 5
"2" 4 2 1 2 5 4 2 3
"3" 1 1 4 4 2 3 4 5
"4" 4 4 2 1 4 5 2 3
"5" 3 1 5 1 4 3 5 2
"6" 1 2 4 2 3 4 4 3
"7" 4 4 1 3 5 4 2 4
"8" 5 NA 1 4 5 3 1 4
"9" 2 1 2 5 3 2 2 5
"10" 5 3 4 5 5 5 4 5
"11" 5 2 1 2 5 3 2 4
"12" 4 5 1 1 5 5 2 1
"13" 5 2 2 4 5 3 2 5
"14" 3 2 NA 3 4 4 3 4
"15" 5 2 3 3 5 4 4 3
"16" 3 5 3 1 3 5 3 2
"17" 3 1 2 1 5 3 2 2
"18" 3 5 5 2 5 5 5 4
"19" 5 5 3 4 5 5 4 4
"20" 5 5 4 1 5 5 NA 2
"21" 5 1 2 5 5 1 2 5
"22" 1 2 1 2 1 3 1 4
"23" 2 5 2 1 3 5 2 2
"24" 5 3 1 4 5 4 2 5
"25" 2 3 4 2 2 NA 4 3
"26" 1 2 5 5 1 4 5 5
"27" 4 1 3 5 5 1 4 5
"28" 2 5 2 3 2 5 3 3
"29" 3 2 1 2 4 4 1 3
"30" 1 3 2 3 1 4 2 5
"31" 1 3 5 1 1 4 5 1
"32" 1 1 1 2 3 2 1 4
"33" 1 4 4 3 3 4 5 4
"34" 1 1 2 2 1 1 3 3
"35" 4 1 1 NA 4 1 2 4
"36" 4 2 5 5 5 3 5 5
"37" 3 1 5 5 5 2 5 5
"38" 2 3 1 4 3 3 2 5
"39" 5 2 5 4 5 2 5 4
"40" 3 3 2 1 5 4 3 2
"41" 3 3 3 2 4 3 3 3
"42" 5 1 3 5 5 1 4 5
"43" 1 4 NA 3 3 4 4 5
"44" 2 5 1 3 4 5 2 4
"45" 2 2 2 5 2 4 3 5
"46" 2 3 4 3 4 3 5 4
"47" 4 4 5 1 5 4 5 2
"48" 3 1 4 4 5 3 4 5
"49" 4 3 4 3 4 3 5 5
"50" 4 5 2 2 4 5 3 4
"51" 3 1 1 5 5 2 2 5
"52" 4 4 1 4 5 5 2 5
"53" 5 4 3 1 5 5 3 NA
"54" 1 5 2 3 2 5 2 3
"55" 4 4 3 1 4 4 4 2
"56" 1 5 2 3 3 5 3 5
"57" 4 1 2 4 5 2 3 4
"58" 5 4 4 1 5 4 5 2
"59" 1 1 2 3 2 3 3 3
"60" 2 5 3 4 3 5 3 5
"61" 4 4 5 1 5 5 5 2
"62" 5 3 1 5 5 4 2 5
"63" 5 2 4 2 5 4 5 3
"64" 5 4 1 5 5 5 1 5
"65" 3 1 2 3 5 2 2 3
"66" 5 3 1 2 5 4 1 4
"67" 2 4 2 5 4 5 3 5
"68" 5 2 4 3 5 2 4 5
"69" 1 5 2 2 2 5 3 4
"70" 1 4 5 4 2 4 5 4
"71" 5 5 1 4 5 5 1 5
"72" 5 2 5 2 5 3 5 3
"73" 1 4 4 3 1 4 4 5
"74" 3 3 3 NA 4 5 3 4
"75" 1 4 2 1 2 5 3 2
"76" 1 5 1 4 3 5 2 5
"77" NA 2 2 1 3 4 3 3
"78" 5 2 4 4 5 3 5 4
"79" 1 3 1 2 3 4 2 4
"80" 4 2 3 4 5 3 4 5
"81" 2 3 2 1 3 4 3 2
"82" 4 5 4 1 5 5 5 2
"83" 1 2 4 5 3 4 5 5
"84" 1 4 1 3 2 5 2 4
"85" 5 4 3 2 5 5 4 3
"86" 3 4 3 2 4 5 4 4
"87" 1 1 5 5 2 2 5 5
"88" 3 4 1 3 3 5 1 4
"89" 4 4 2 5 5 5 3 5
"90" 3 3 2 2 4 4 3 4
"91" 2 3 3 2 4 4 3 3
"92" 3 2 3 3 3 2 3 5
"93" 4 3 3 3 5 4 4 5
"94" 2 4 3 3 3 5 4 3
"95" 5 1 3 2 5 3 3 3
"96" 1 2 4 4 2 3 4 4
"97" 3 2 2 5 4 3 3 5
"98" 4 1 5 4 4 2 5 5
"99" 1 NA 3 1 2 5 4 3
"100" 3 1 5 3 3 2 5 5
"101" 1 1 1 5 2 2 2 5
"102" 2 2 5 3 2 3 5 3
"103" 5 1 1 3 5 2 1 4
"104" 3 2 1 2 3 4 2 2
"105" 5 5 4 3 5 5 4 3
"106" 2 3 4 1 4 4 4 2
"107" 4 2 1 3 5 2 2 5
"108" 4 3 3 1 5 5 3 2
"109" 5 4 3 5 5 5 3 5
"110" 1 1 NA 2 3 2 2 2
"111" 1 3 3 5 2 5 3 5
"112" 3 4 2 5 3 5 3 5
"113" 2 4 2 1 NA 5 2 2
"114" 2 3 2 4 2 4 3 5
"115" 1 2 1 4 3 NA 1 5
"116" 5 5 1 2 5 5 2 3
"117" 2 2 3 5 4 2 4 5
"118" 2 2 1 NA 3 3 1 4
"119" 4 3 3 5 5 3 3 5
"120" 4 3 5 3 4 4 NA 3
"121" 3 2 2 2 4 3 2 2
"122" 1 2 1 4 1 3 1 5
"123" 5 4 1 2 5 5 2 3
"124" 5 3 5 4 5 5 5 5
"125" 1 4 3 4 3 5 4 5
"126" 5 4 1 4 5 5 2 5
"127" 1 2 3 1 3 3 4 2
"128" 1 1 2 5 3 2 2 5
"129" 4 3 1 2 5 3 2 2
"130" 2 5 2 2 3 5 3 2
"131" 2 5 5 3 3 5 5 3
"132" 2 4 4 5 3 5 5 5
"133" 1 3 5 4 2 4 5 4
"134" 2 5 1 3 3 5 1 5
"135" 5 2 3 3 5 3 4 4
"136" 4 2 3 3 5 3 3 4
"137" 4 4 4 2 5 5 5 3
"138" 3 3 2 2 3 5 3 3
"139" 4 2 1 5 5 3 2 5
"140" 1 3 4 5 2 4 4 5
"141" 1 2 1 2 2 4 2 3
"142" 4 3 2 2 5 3 2 2
"143" 2 3 2 2 4 3 2 3
"144" 1 3 4 1 3 4 4 3
"145" 5 3 1 2 5 5 1 3
"146" 4 3 5 2 4 4 5 2
"147" 5 2 2 4 5 3 3 5
"148" 1 2 2 5 3 3 2 5
"149" 1 1 1 3 3 2 2 4
"150" 1 4 2 1 3 5 2 3
"151" 5 1 2 2 5 2 2 2
"152" 5 3 3 2 5 3 4 NA
"153" 3 1 1 1 3 2 2 3
"154" 4 1 5 4 4 3 5 4
"155" 5 4 5 1 5 4 5 1
"156" 2 2 5 5 2 3 5 5
"157" 2 4 2 3 4 5 NA 4
"158" 1 2 2 4 1 4 2 5
"159" 2 5 5 4 4 5 5 4
"160" 1 2 4 3 1 3 4 3
"161" 4 5 4 3 5 5 4 4
"162" 2 5 2 4 3 5 3 5
"163" 3 1 4 4 4 3 5 4
"164" 5 3 2 4 5 4 3 4
"165" 1 5 3 4 3 5 3 5
"166" 1 2 4 1 3 4 5 3
"167" 1 3 3 4 3 4 3 5
"168" 1 3 5 1 2 4 5 1
"169" 1 5 1 5 2 5 1 5
"170" 3 4 1 1 5 4 1 2
"171" 2 2 2 5 3 3 2 5
"172" 2 1 3 1 3 2 4 2
"173" 3 3 1 3 4 4 2 4
"174" 1 5 4 1 2 5 5 3
"175" 3 5 3 4 5 5 3 5
"176" 4 4 1 5 5 5 2 5
"177" 1 1 2 2 1 2 3 4
"178" 5 4 5 2 5 5 5 3
"179" 2 1 1 2 3 2 1 2
"180" 3 3 1 3 5 4 1 4
"181" 4 5 4 1 5 5 5 1
"182" 4 2 2 2 5 3 2 3
"183" 4 5 5 2 5 5 5 3
"184" 2 5 2 2 3 5 3 3
"185" 3 5 4 3 4 5 5 4
"186" 4 1 5 3 5 2 5 4
"187" 2 4 3 3 3 5 4 5
"188" 5 3 1 4 5 4 2 5
"189" 2 4 3 1 2 5 4 1
"190" 5 3 3 2 5 3 4 3
"191" 1 3 3 1 2 4 4 2
"192" 1 1 5 5 1 2 5 5
"193" 4 3 3 5 5 5 3 5
"194" 2 3 3 2 4 4 4 3
"195" 1 1 2 3 3 1 3 5
"196" 3 1 3 1 3 2 3 1
"197" 5 1 2 4 5 3 2 4
"198" 2 2 2 3 3 3 2 3
"199" 1 1 1 5 2 2 2 5
"200" 2 1 4 5 3 1 4 5
"201" 5 5 1 5 5 5 1 5
"202" 2 5 3 4 3 5 3 4
